,Word1,Word2,Word1_Syll,Word2_Syll,Word1_Length,Word2_Length,Freq_Per_Mil1,Log_Freq_Per_Mil1,Freq_Per_Mil2,Log_Freq_Per_Mil2,Syll_Delta,Freq_Delta,Length_Delta
22,heavy,weighty,2,2,5,7,47.29,3.3826,0.24,1.1139,0,2.2687,-2
23,serious,weighty,3,2,7,7,148.35,3.8789,0.24,1.1139,1,2.7649999999999997,0
24,heavy,violent,2,3,5,7,47.29,3.3826,16.67,2.9299,-1,0.4527000000000001,-2
25,strong,violent,1,3,6,7,86.86,3.6465,16.67,2.9299,-2,0.7166000000000001,-1
26,furious,violent,3,3,7,7,6.0,2.4871,16.67,2.9299,0,-0.4428000000000001,0
27,severe,violent,2,3,6,7,9.41,2.6821,16.67,2.9299,-1,-0.2477999999999998,-1
28,heavy,sound,2,1,5,5,47.29,3.3826,143.39,3.8642,1,-0.4815999999999998,0
29,intact,sound,2,1,6,5,6.35,2.5119,143.39,3.8642,1,-1.3523,1
30,strong,sound,1,1,6,5,86.86,3.6465,143.39,3.8642,0,-0.21769999999999978,1
31,robust,sound,2,1,6,5,0.71,1.5682,143.39,3.8642,1,-2.296,1
32,fresh,sound,1,1,5,5,54.51,3.4442,143.39,3.8642,0,-0.41999999999999993,0
33,fast,sound,1,1,4,5,137.45,3.8458,143.39,3.8642,0,-0.01839999999999975,-1
34,whole,sound,1,1,5,5,385.49,4.2936,143.39,3.8642,0,0.4293999999999998,0
35,logical,sound,3,1,7,5,7.39,2.5775,143.39,3.8642,2,-1.2866999999999997,2
36,wholesome,sound,2,1,9,5,1.59,1.9138,143.39,3.8642,1,-1.9504,4
37,report,sound,2,1,6,5,108.0,3.7411,143.39,3.8642,1,-0.12309999999999999,1
38,heavy,leaden,2,2,5,6,47.29,3.3826,0.1,0.7782,0,2.6044,-1
39,heavy,hard,2,1,5,4,47.29,3.3826,307.84,4.1959,1,-0.8132999999999999,1
40,sad,hard,1,1,3,4,63.37,3.5096,307.84,4.1959,0,-0.6863000000000001,-1
41,concentrated,hard,4,1,12,4,1.94,2.0,307.84,4.1959,3,-2.1959,8
42,horny,hard,2,1,5,4,8.39,2.6325,307.84,4.1959,1,-1.5634000000000001,1
43,heavy,oppressive,2,3,5,10,47.29,3.3826,0.92,1.6812,-1,1.7014,-5
44,preposterous,ridiculous,4,4,12,10,3.04,2.1931,55.61,3.4529,0,-1.2598000000000003,2
45,farcical,ridiculous,3,4,8,10,0.12,0.8451,55.61,3.4529,-1,-2.6078,-2
46,nonsensical,ridiculous,4,4,11,10,0.25,1.1461,55.61,3.4529,0,-2.3068,1
47,pretty,mean,2,1,6,4,392.22,4.3011,1243.98,4.8024,1,-0.5012999999999996,2
48,despicable,mean,4,1,10,4,2.1,2.0334,1243.98,4.8024,3,-2.7689999999999997,6
49,sorry,mean,2,1,5,4,1167.96,4.775,1243.98,4.8024,1,-0.027399999999999203,1
50,poor,mean,1,1,4,4,129.08,3.8185,1243.98,4.8024,0,-0.9838999999999998,0
51,vulgar,mean,2,1,6,4,3.27,2.2253,1243.98,4.8024,1,-2.5770999999999997,2
52,small,mean,1,1,5,4,124.96,3.8044,1243.98,4.8024,0,-0.9979999999999998,1
53,hateful,mean,2,1,7,4,2.0,2.0128,1243.98,4.8024,1,-2.7895999999999996,3
54,dirty,mean,2,1,5,4,66.45,3.5302,1243.98,4.8024,1,-1.2721999999999998,1
55,pretty,fine,2,1,6,4,392.22,4.3011,598.08,4.4843,1,-0.18320000000000025,2
56,grand,fine,1,1,5,4,63.02,3.5072,598.08,4.4843,0,-0.9771000000000001,1
57,magnificent,fine,4,1,11,4,13.22,2.8293,598.08,4.4843,3,-1.6550000000000002,7
58,showy,fine,2,1,5,4,0.29,1.2041,598.08,4.4843,1,-3.2802000000000002,1
59,superb,fine,2,1,6,4,2.88,2.1703,598.08,4.4843,1,-2.314,2
60,pretty,neat,2,1,6,4,392.22,4.3011,12.45,2.8035,1,1.4975999999999998,2
61,straight,neat,1,1,8,4,122.43,3.7955,12.45,2.8035,0,0.992,4
62,great,neat,1,1,5,4,820.86,4.6219,12.45,2.8035,0,1.8184,1
63,tidy,neat,2,1,4,4,3.71,2.2788,12.45,2.8035,1,-0.5247000000000002,0
64,primitive,ancient,3,2,9,7,5.16,2.4216,21.67,3.0438,1,-0.6221999999999999,2
65,obsolete,ancient,3,2,8,7,1.92,1.9956,21.67,3.0438,1,-1.0482,1
66,primitive,original,3,4,9,8,5.16,2.4216,28.24,3.1587,-1,-0.7370999999999999,1
67,old,original,1,4,3,8,608.94,4.4922,28.24,3.1587,-3,1.3335000000000004,-5
68,new,original,1,4,3,8,723.78,4.5672,28.24,3.1587,-3,1.4084999999999996,-5
69,primary,original,3,4,7,8,8.71,2.6484,28.24,3.1587,-1,-0.5103,-1
70,prime,original,1,4,5,8,18.29,2.9703,28.24,3.1587,-3,-0.18840000000000012,-3
71,pristine,original,2,4,8,8,0.76,1.6021,28.24,3.1587,-2,-1.5566,0
72,archetypal,original,3,4,10,8,0.14,0.9031,28.24,3.1587,-1,-2.2556000000000003,2
73,colloquial,informal,4,3,10,8,0.06,0.6021,1.69,1.9395,1,-1.3374000000000001,2
74,strong,influential,1,4,6,11,86.86,3.6465,1.59,1.9138,-3,1.7327000000000001,-5
75,important,influential,3,4,9,11,207.59,4.0248,1.59,1.9138,-1,2.1109999999999998,-2
76,potent,influential,2,4,6,11,1.49,1.8865,1.59,1.9138,-2,-0.02729999999999988,-5
77,strong,impregnable,1,4,6,11,86.86,3.6465,0.57,1.4771,-3,2.1694,-5
78,strong,ardent,1,2,6,6,86.86,3.6465,0.59,1.4914,-1,2.1551,0
79,enthusiastic,ardent,5,2,12,6,2.78,2.1553,0.59,1.4914,3,0.6638999999999999,6
80,passionate,ardent,3,2,10,6,6.0,2.4871,0.59,1.4914,1,0.9956999999999998,4
81,zealous,ardent,2,2,7,6,0.29,1.2041,0.59,1.4914,0,-0.2873000000000001,1
82,strong,sticky,1,2,6,6,86.86,3.6465,5.73,2.4669,-1,1.1796000000000002,0
83,strong,stiff,1,1,6,5,86.86,3.6465,10.25,2.7193,0,0.9272,1
84,tough,stiff,1,1,5,5,90.51,3.6644,10.25,2.7193,0,0.9451,0
85,firm,stiff,1,1,4,5,35.27,3.2553,10.25,2.7193,0,0.536,-1
86,strong,energetic,1,4,6,9,86.86,3.6465,1.29,1.8261,-3,1.8204,-3
87,vigorous,energetic,3,4,8,9,0.69,1.5563,1.29,1.8261,-1,-0.26980000000000004,-1
88,industrious,energetic,4,4,11,9,0.33,1.2553,1.29,1.8261,0,-0.5708,2
89,strong,firm,1,1,6,4,86.86,3.6465,35.27,3.2553,0,0.3912,2
90,loyal,firm,2,1,5,4,12.0,2.7875,35.27,3.2553,1,-0.4678,1
91,hard,firm,1,1,4,4,307.84,4.1959,35.27,3.2553,0,0.9405999999999999,0
92,steadfast,firm,2,1,9,4,0.43,1.3617,35.27,3.2553,1,-1.8936000000000002,5
93,sturdy,firm,2,1,6,4,1.69,1.9395,35.27,3.2553,1,-1.3158,2
94,concern,firm,2,1,7,4,26.12,3.1248,35.27,3.2553,1,-0.13050000000000006,3
95,famous,celebrated,2,4,6,10,45.02,3.3612,2.71,2.143,-2,1.2182000000000004,-4
96,renowned,celebrated,2,4,8,10,1.31,1.8325,2.71,2.143,-2,-0.3104999999999998,-2
97,distinguished,celebrated,3,4,13,10,6.18,2.4997,2.71,2.143,-1,0.3567,3
98,eminent,celebrated,3,4,7,10,1.65,1.9294,2.71,2.143,-1,-0.2135999999999998,-3
99,famous,excellent,2,3,6,9,45.02,3.3612,52.71,3.4296,-1,-0.06840000000000002,-3
100,great,excellent,1,3,5,9,820.86,4.6219,52.71,3.4296,-2,1.1923,-4
101,good,excellent,1,3,4,9,2610.14,5.1242,52.71,3.4296,-2,1.6945999999999999,-5
102,worthy,excellent,2,3,6,9,10.33,2.7226,52.71,3.4296,-1,-0.7070000000000003,-3
103,superb,excellent,2,3,6,9,2.88,2.1703,52.71,3.4296,-1,-1.2593,-3
104,famous,notable,2,3,6,7,45.02,3.3612,0.61,1.5051,-1,1.8561,-1
105,renowned,notable,2,3,8,7,1.31,1.8325,0.61,1.5051,-1,0.3273999999999999,1
106,conspicuous,notable,4,3,11,7,1.47,1.8808,0.61,1.5051,1,0.3756999999999999,4
107,famed,notable,1,3,5,7,0.82,1.6335,0.61,1.5051,-2,0.12839999999999985,-2
108,prominent,notable,3,3,9,7,2.55,2.1173,0.61,1.5051,0,0.6122000000000001,2
109,famous,brilliant,2,2,6,9,45.02,3.3612,35.8,3.2617,0,0.09950000000000037,-3
110,splendid,brilliant,2,2,8,9,11.67,2.7752,35.8,3.2617,0,-0.48649999999999993,-1
111,vivid,brilliant,2,2,5,9,2.04,2.0212,35.8,3.2617,0,-1.2405,-4
112,smart,brilliant,1,2,5,9,96.25,3.6911,35.8,3.2617,-1,0.4294000000000002,-4
113,magnificent,brilliant,4,2,11,9,13.22,2.8293,35.8,3.2617,2,-0.4323999999999999,2
114,famous,heroic,2,3,6,6,45.02,3.3612,4.59,2.3711,-1,0.9901,0
115,grand,heroic,1,3,5,6,63.02,3.5072,4.59,2.3711,-2,1.1360999999999999,-1
116,fearless,heroic,2,3,8,6,2.98,2.1847,4.59,2.3711,-1,-0.18640000000000034,2
117,gallant,heroic,2,3,7,6,3.27,2.2253,4.59,2.3711,-1,-0.14580000000000037,1
118,poem,heroic,2,3,4,6,13.65,2.8432,4.59,2.3711,-1,0.47209999999999974,-2
119,streamlined,aerodynamic,2,5,11,11,0.37,1.301,0.43,1.3617,-3,-0.060699999999999976,0
120,wild,irregular,1,4,4,9,57.31,3.466,2.53,2.1139,-3,1.3521,-5
121,informal,irregular,3,4,8,9,1.69,1.9395,2.53,2.1139,-1,-0.1744000000000001,-1
122,interrupted,irregular,4,4,11,9,5.24,2.4281,2.53,2.1139,0,0.31420000000000003,2
123,wild,ferocious,1,3,4,9,57.31,3.466,1.55,1.9031,-2,1.5629000000000002,-5
124,wild,barbarian,1,4,4,9,57.31,3.466,1.8,1.9685,-3,1.4975000000000003,-5
125,wild,savage,1,2,4,6,57.31,3.466,7.16,2.5635,-1,0.9025000000000003,-2
126,cruel,savage,2,2,5,6,18.35,2.9717,7.16,2.5635,0,0.4081999999999999,-1
127,inhuman,savage,3,2,7,6,1.78,1.9638,7.16,2.5635,1,-0.5996999999999999,1
128,wild,unfounded,1,3,4,9,57.31,3.466,0.61,1.5051,-2,1.9609,-5
129,gratuitous,unfounded,4,3,10,9,0.35,1.2788,0.61,1.5051,1,-0.22630000000000017,1
130,unwarranted,unfounded,4,3,11,9,0.37,1.301,0.61,1.5051,1,-0.20410000000000017,2
131,integrated,structured,4,2,10,10,1.08,1.7482,0.67,1.5441,2,0.20409999999999995,0
132,integrated,mixed,4,1,10,5,1.08,1.7482,21.37,3.0378,3,-1.2895999999999999,5
133,familiar,fresh,3,1,8,5,34.51,3.2458,54.51,3.4442,2,-0.1983999999999999,3
134,novel,fresh,2,1,5,5,10.06,2.711,54.51,3.4442,1,-0.7332000000000001,0
135,quick,fresh,1,1,5,5,108.67,3.7437,54.51,3.4442,0,0.2995000000000001,0
136,clean,fresh,1,1,5,5,121.24,3.7913,54.51,3.4442,0,0.3471000000000002,0
137,familiar,accessible,3,4,8,10,34.51,3.2458,1.1,1.7559,-1,1.4899,-2
138,familiar,common,3,2,8,6,34.51,3.2458,44.61,3.3572,1,-0.11140000000000017,2
139,bent,common,1,2,4,6,7.22,2.567,44.61,3.3572,-1,-0.7902,-2
140,trivial,common,3,2,7,6,1.82,1.9731,44.61,3.3572,1,-1.3841,1
141,promiscuous,common,3,2,11,6,1.02,1.7243,44.61,3.3572,1,-1.6329000000000002,5
142,vernacular,common,4,2,10,6,0.49,1.415,44.61,3.3572,2,-1.9422000000000001,4
143,female,feminine,2,3,6,8,31.61,3.2076,4.57,2.3692,-1,0.8383999999999996,-2
144,steep,high,1,1,5,4,2.45,2.1004,195.0,3.9976,0,-1.8971999999999998,1
145,angry,high,2,1,5,4,58.98,3.4784,195.0,3.9976,1,-0.5191999999999997,1
146,important,high,3,1,9,4,207.59,4.0248,195.0,3.9976,2,0.027200000000000113,5
147,haughty,high,2,1,7,4,0.41,1.3424,195.0,3.9976,1,-2.6552,3
148,arrogant,high,3,1,8,4,5.22,2.4265,195.0,3.9976,2,-1.5711,4
149,towering,high,3,1,8,4,0.63,1.5185,195.0,3.9976,2,-2.4791,4
150,steep,precipitous,1,4,5,11,2.45,2.1004,0.12,0.8451,-3,1.2553,-6
151,steep,infuse,1,2,5,6,2.45,2.1004,0.18,1.0,-1,1.1004,-1
152,naturalistic,realistic,5,4,12,9,0.06,0.6021,4.61,2.3729,1,-1.7708,3
153,pragmatic,realistic,3,4,9,9,0.59,1.4914,4.61,2.3729,-1,-0.8815,0
154,splendid,great,2,1,8,5,11.67,2.7752,820.86,4.6219,1,-1.8467000000000002,3
155,infinite,great,3,1,8,5,3.49,2.2529,820.86,4.6219,2,-2.369,3
156,immense,great,2,1,7,5,1.61,1.9191,820.86,4.6219,1,-2.7028,2
157,gross,great,1,1,5,5,15.27,2.8921,820.86,4.6219,0,-1.7298,0
158,excellent,great,3,1,9,5,52.71,3.4296,820.86,4.6219,2,-1.1923,4
159,thick,great,1,1,5,5,13.98,2.8537,820.86,4.6219,0,-1.7682000000000002,0
160,outstanding,great,3,1,11,5,7.45,2.5809,820.86,4.6219,2,-2.041,6
161,splendid,famous,2,2,8,6,11.67,2.7752,45.02,3.3612,0,-0.5860000000000003,2
162,renowned,famous,2,2,8,6,1.31,1.8325,45.02,3.3612,0,-1.5287000000000002,2
163,famed,famous,1,2,5,6,0.82,1.6335,45.02,3.3612,-1,-1.7277000000000002,-1
164,eminent,famous,3,2,7,6,1.65,1.9294,45.02,3.3612,1,-1.4318000000000002,1
165,noted,famous,2,2,5,6,4.8,2.3909,45.02,3.3612,0,-0.9703000000000004,-1
166,spirited,fiery,3,3,8,5,1.22,1.7993,2.02,2.017,0,-0.2177,3
167,spirited,lively,3,2,8,6,1.22,1.7993,4.06,2.3181,1,-0.5187999999999999,2
168,joyous,lively,2,2,6,6,1.35,1.8451,4.06,2.3181,0,-0.47299999999999986,0
169,bright,lively,1,2,6,6,44.41,3.3553,4.06,2.3181,-1,1.0372000000000003,0
170,alive,lively,2,2,5,6,154.47,3.8965,4.06,2.3181,0,1.5784000000000002,-1
171,quick,lively,1,2,5,6,108.67,3.7437,4.06,2.3181,-1,1.4256000000000002,-1
172,alert,lively,2,2,5,6,20.61,3.022,4.06,2.3181,0,0.7039,-1
173,cheerful,lively,2,2,8,6,3.73,2.281,4.06,2.3181,0,-0.03709999999999969,2
174,cheery,lively,2,2,6,6,1.06,1.7404,4.06,2.3181,0,-0.5776999999999999,0
175,sparkling,lively,2,2,9,6,2.0,2.0128,4.06,2.3181,0,-0.3052999999999999,3
176,spirited,active,3,2,8,6,1.22,1.7993,11.45,2.7672,1,-0.9679,2
177,alive,active,2,2,5,6,154.47,3.8965,11.45,2.7672,0,1.1293000000000002,-1
178,quick,active,1,2,5,6,108.67,3.7437,11.45,2.7672,-1,0.9765000000000001,-1
179,actual,active,3,2,6,6,17.33,2.9469,11.45,2.7672,1,0.17969999999999997,0
180,alert,active,2,2,5,6,20.61,3.022,11.45,2.7672,0,0.2547999999999999,-1
181,kinetic,active,3,2,7,6,0.63,1.5185,11.45,2.7672,1,-1.2487,1
182,energetic,active,4,2,9,6,1.29,1.8261,11.45,2.7672,2,-0.9410999999999998,3
183,literal,actual,3,3,7,6,1.35,1.8451,17.33,2.9469,0,-1.1018,1
184,substantial,actual,3,3,11,6,3.57,2.2625,17.33,2.9469,0,-0.6843999999999997,5
185,factual,actual,3,3,7,6,0.53,1.4472,17.33,2.9469,0,-1.4996999999999998,1
186,positive,actual,3,3,8,6,31.63,3.2079,17.33,2.9469,0,0.2610000000000001,2
187,bare,unadorned,1,3,4,9,8.33,2.6294,0.12,0.8451,-2,1.7843,-5
188,bare,stripped,1,1,4,8,8.33,2.6294,3.59,2.2648,0,0.3645999999999998,-4
189,bare,simple,1,2,4,6,8.33,2.6294,89.31,3.6586,-1,-1.0292,-2
190,low,simple,1,2,3,6,59.14,3.4796,89.31,3.6586,-1,-0.17899999999999983,-3
191,naked,simple,2,2,5,6,39.25,3.3017,89.31,3.6586,0,-0.3569,-1
192,unmixed,simple,2,2,7,6,0.02,0.301,89.31,3.6586,0,-3.3575999999999997,1
193,bare,plain,1,1,4,5,8.33,2.6294,21.82,3.0469,0,-0.4175,-1
194,intelligible,plain,5,1,12,5,0.06,0.6021,21.82,3.0469,4,-2.4448,7
195,blunt,plain,1,1,5,5,4.9,2.3997,21.82,3.0469,0,-0.6471999999999998,0
196,usual,plain,3,1,5,5,37.24,3.2788,21.82,3.0469,2,0.2319,0
197,broad,plain,1,1,5,5,14.73,2.8762,21.82,3.0469,0,-0.17070000000000007,0
198,clear,plain,1,1,5,5,171.82,3.9427,21.82,3.0469,0,0.8957999999999999,0
199,popular,plain,3,1,7,5,23.08,3.0711,21.82,3.0469,2,0.0242,2
200,explicit,plain,3,1,8,5,1.39,1.8573,21.82,3.0469,2,-1.1896,3
201,bare,barren,1,2,4,6,8.33,2.6294,1.47,1.8808,-1,0.7485999999999999,-2
202,sterile,barren,2,2,7,6,2.18,2.0492,1.47,1.8808,0,0.16839999999999988,1
203,free,barren,1,2,4,6,177.53,3.9569,1.47,1.8808,-1,2.0761000000000003,-2
204,desolate,barren,3,2,8,6,0.98,1.7076,1.47,1.8808,1,-0.17320000000000002,2
205,desert,barren,2,2,6,6,27.98,3.1547,1.47,1.8808,0,1.2739,0
206,bare,naked,1,2,4,5,8.33,2.6294,39.25,3.3017,-1,-0.6722999999999999,-1
207,low,coarse,1,1,3,6,59.14,3.4796,1.35,1.8451,0,1.6345,-3
208,broad,coarse,1,1,5,6,14.73,2.8762,1.35,1.8451,0,1.0311,-1
209,vulgar,coarse,2,1,6,6,3.27,2.2253,1.35,1.8451,1,0.38019999999999987,0
210,brutal,coarse,2,1,6,6,7.35,2.5752,1.35,1.8451,1,0.7301000000000002,0
211,low,feeble,1,2,3,6,59.14,3.4796,1.69,1.9395,-1,1.5401,-3
212,low,small,1,1,3,5,59.14,3.4796,124.96,3.8044,0,-0.32479999999999976,-2
213,petite,small,2,1,6,5,1.06,1.7404,124.96,3.8044,1,-2.064,1
214,unimportant,small,4,1,11,5,2.45,2.1004,124.96,3.8044,3,-1.7039999999999997,6
215,low,light,1,1,3,5,59.14,3.4796,165.2,3.9256,0,-0.4460000000000002,-2
216,frivolous,light,3,1,9,5,1.2,1.7924,165.2,3.9256,2,-2.1332000000000004,4
217,clear,light,1,1,5,5,171.82,3.9427,165.2,3.9256,0,0.01709999999999967,0
218,clean,light,1,1,5,5,121.24,3.7913,165.2,3.9256,0,-0.13430000000000009,0
219,lightness,light,2,1,9,5,0.39,1.3222,165.2,3.9256,1,-2.6034,4
220,pitch,light,1,1,5,5,15.53,2.8993,165.2,3.9256,0,-1.0263,0
221,collective,corporate,3,3,10,9,2.39,2.0899,10.22,2.7177,0,-0.6277999999999997,1
222,sad,pitiful,1,3,3,7,63.37,3.5096,3.84,2.2945,-2,1.2150999999999996,-4
223,sad,touching,1,2,3,8,63.37,3.5096,17.41,2.9489,-1,0.5606999999999998,-5
224,sad,sorrowful,1,3,3,9,63.37,3.5096,0.39,1.3222,-2,2.1874,-6
225,noble,sublime,2,2,5,7,14.59,2.8722,1.45,1.8751,0,0.9970999999999999,-2
226,elevated,sublime,4,2,8,7,2.49,2.1072,1.45,1.8751,2,0.2321000000000002,1
227,noble,honorable,2,4,5,9,14.59,2.8722,7.24,2.5682,-2,0.3039999999999998,-4
228,high,honorable,1,4,4,9,195.0,3.9976,7.24,2.5682,-3,1.4293999999999998,-5
229,virtuous,honorable,3,4,8,9,1.73,1.9494,7.24,2.5682,-1,-0.6188,-1
230,respectable,honorable,4,4,11,9,5.65,2.4609,7.24,2.5682,0,-0.10729999999999995,2
231,generous,honorable,3,4,8,9,16.71,2.9309,7.24,2.5682,-1,0.3626999999999998,-1
232,noble,free,2,1,5,4,14.59,2.8722,177.53,3.9569,1,-1.0847000000000002,1
233,liberal,free,3,1,7,4,3.98,2.3096,177.53,3.9569,2,-1.6473,3
234,liberal,free,3,1,7,4,3.98,2.3096,177.53,3.9569,2,-1.6473,3
235,abundant,free,3,1,8,4,0.57,1.4771,177.53,3.9569,2,-2.4798,4
236,vacant,free,2,1,6,4,2.65,2.1335,177.53,3.9569,1,-1.8234,2
237,destitute,free,3,1,9,4,0.71,1.5682,177.53,3.9569,2,-2.3887,5
238,unobstructed,free,4,1,12,4,0.14,0.9031,177.53,3.9569,3,-3.0538,8
239,untrammeled,free,3,1,11,4,0.06,0.6021,177.53,3.9569,2,-3.3548,7
240,immune,free,2,1,6,4,4.33,2.3464,177.53,3.9569,1,-1.6105,2
241,noble,renowned,2,2,5,8,14.59,2.8722,1.31,1.8325,0,1.0396999999999998,-3
242,notorious,renowned,4,2,9,8,3.71,2.2788,1.31,1.8325,2,0.4462999999999999,1
243,fit,prepared,1,2,3,8,57.59,3.4681,35.78,3.2615,-1,0.20660000000000034,-5
244,fit,suitable,1,3,3,8,57.59,3.4681,4.84,2.3945,-2,1.0736000000000003,-5
245,adequate,suitable,3,3,8,8,2.59,2.1239,4.84,2.3945,0,-0.27059999999999995,0
246,due,suitable,1,3,3,8,44.61,3.3572,4.84,2.3945,-2,0.9627000000000003,-5
247,good,suitable,1,3,4,8,2610.14,5.1242,4.84,2.3945,-2,2.7297000000000002,-4
248,right,suitable,1,3,5,8,4008.39,5.3105,4.84,2.3945,-2,2.9160000000000004,-3
249,ready,suitable,2,3,5,8,387.8,4.2962,4.84,2.3945,-1,1.9017,-3
250,reasonable,suitable,4,3,10,8,18.55,2.9763,4.84,2.3945,1,0.5818000000000003,2
251,pertinent,suitable,3,3,9,8,1.18,1.7853,4.84,2.3945,0,-0.6091999999999997,1
252,convenient,suitable,3,3,10,8,8.55,2.6405,4.84,2.3945,0,0.246,2
253,compatible,suitable,4,3,10,8,2.35,2.0828,4.84,2.3945,1,-0.31169999999999964,2
254,eligible,suitable,4,3,8,8,3.31,2.2304,4.84,2.3945,1,-0.1640999999999999,0
255,fit,worthy,1,2,3,6,57.59,3.4681,10.33,2.7226,-1,0.7455000000000003,-3
256,deserving,worthy,3,2,9,6,0.98,1.7076,10.33,2.7226,1,-1.015,3
257,other,additional,2,4,5,10,735.39,4.5741,5.88,2.4786,-2,2.0954999999999995,-5
258,collateral,additional,4,4,10,10,3.39,2.2405,5.88,2.4786,0,-0.2381000000000002,0
259,supplemental,additional,4,4,12,10,0.59,1.4914,5.88,2.4786,0,-0.9872000000000001,2
260,wooded,overgrown,2,3,6,9,0.33,1.2553,0.96,1.699,-1,-0.4437,-3
261,lone,single,1,2,4,6,5.25,2.4298,72.08,3.5655,-1,-1.1357,-2
262,several,single,2,2,7,6,38.78,3.2964,72.08,3.5655,0,-0.2690999999999999,1
263,only,single,2,2,4,6,1083.71,4.7425,72.08,3.5655,0,1.1769999999999996,-2
264,singular,single,3,2,8,6,1.27,1.8195,72.08,3.5655,1,-1.7460000000000002,2
265,undivided,single,4,2,9,6,0.92,1.6812,72.08,3.5655,2,-1.8843,3
266,unique,single,2,2,6,6,13.65,2.8432,72.08,3.5655,0,-0.7223000000000002,0
267,lone,only,1,2,4,4,5.25,2.4298,1083.71,4.7425,-1,-2.3126999999999995,0
268,solitary,only,4,2,8,4,3.41,2.243,1083.71,4.7425,2,-2.4995,4
269,hilarious,funny,4,2,9,5,5.78,2.4713,218.18,4.0464,2,-1.5751000000000004,4
270,odd,funny,1,2,3,5,24.04,3.0888,218.18,4.0464,-1,-0.9576000000000002,-2
271,comic,funny,2,2,5,5,10.82,2.7427,218.18,4.0464,0,-1.3037,0
272,peculiar,funny,3,2,8,5,7.55,2.5866,218.18,4.0464,1,-1.4598000000000004,3
273,grotesque,funny,2,2,9,5,1.57,1.9085,218.18,4.0464,0,-2.1379,4
274,interesting,funny,3,2,11,5,86.69,3.6456,218.18,4.0464,1,-0.40080000000000027,6
275,waterlogged,swampy,3,2,11,6,0.14,0.9031,0.2,1.0414,1,-0.1383000000000001,5
276,waterlogged,marshy,3,2,11,6,0.14,0.9031,0.06,0.6021,1,0.30100000000000005,5
277,swampy,marshy,2,2,6,6,0.2,1.0414,0.06,0.6021,0,0.43930000000000013,0
278,entire,undivided,3,4,6,9,79.8,3.6097,0.92,1.6812,-1,1.9285,-3
279,whole,undivided,1,4,5,9,385.49,4.2936,0.92,1.6812,-3,2.6123999999999996,-4
280,entire,whole,3,1,6,5,79.8,3.6097,385.49,4.2936,2,-0.6838999999999995,1
281,integral,whole,3,1,8,5,0.73,1.5798,385.49,4.2936,2,-2.7137999999999995,3
282,tight,whole,1,1,5,5,50.92,3.4146,385.49,4.2936,0,-0.8789999999999996,0
283,unfair,unjustified,2,4,6,11,9.84,2.7016,0.16,0.9542,-2,1.7473999999999998,-5
284,unwarranted,unjustified,4,4,11,11,0.37,1.301,0.16,0.9542,0,0.3467999999999999,0
285,unfair,disproportionate,2,5,6,16,9.84,2.7016,0.25,1.1461,-3,1.5555,-10
286,unfair,prejudiced,2,3,6,10,9.84,2.7016,1.86,1.9823,-1,0.7193,-4
287,unfair,biased,2,2,6,6,9.84,2.7016,0.92,1.6812,0,1.0204,0
