,Word1,Word2,Word1_Syll,Word2_Syll,Word1_Freq,Word2_Freq
215,elevated,sublime,4,2,2.49,1.45
216,noble,honorable,2,4,14.59,7.24
217,high,honorable,1,4,195,7.24
218,virtuous,honorable,3,4,1.73,7.24
219,respectable,honorable,4,4,5.65,7.24
220,generous,honorable,3,4,16.71,7.24
221,noble,free,2,1,14.59,177.53
222,liberal,free,3,1,3.98,177.53
223,abundant,free,3,1,0.57,177.53
224,vacant,free,2,1,2.65,177.53
225,destitute,free,3,1,0.71,177.53
226,unobstructed,free,4,1,0.14,177.53
227,untrammeled,free,3,1,0.06,177.53
228,immune,free,2,1,4.33,177.53
229,noble,renowned,2,2,14.59,1.31
230,notorious,renowned,4,2,3.71,1.31
231,fit,prepared,1,2,57.59,35.78
232,fit,suitable,1,3,57.59,4.84
233,adequate,suitable,3,3,2.59,4.84
234,due,suitable,1,3,44.61,4.84
235,good,suitable,1,3,2610.14,4.84
236,right,suitable,1,3,4008.39,4.84
237,ready,suitable,2,3,387.8,4.84
238,reasonable,suitable,4,3,18.55,4.84
239,pertinent,suitable,3,3,1.18,4.84
240,convenient,suitable,3,3,8.55,4.84
241,compatible,suitable,4,3,2.35,4.84
242,eligible,suitable,4,3,3.31,4.84
243,fit,worthy,1,2,57.59,10.33
244,deserving,worthy,3,2,0.98,10.33
245,other,additional,2,4,735.39,5.88
246,collateral,additional,4,4,3.39,5.88
247,supplemental,additional,4,4,0.59,5.88
248,wooded,overgrown,2,3,0.33,0.96
249,lone,single,1,2,5.25,72.08
250,several,single,2,2,38.78,72.08
251,only,single,2,2,1083.71,72.08
252,singular,single,3,2,1.27,72.08
253,undivided,single,4,2,0.92,72.08
254,unique,single,2,2,13.65,72.08
255,lone,only,1,2,5.25,1083.71
256,solitary,only,4,2,3.41,1083.71
257,hilarious,funny,4,2,5.78,218.18
258,odd,funny,1,2,24.04,218.18
259,comic,funny,2,2,10.82,218.18
260,peculiar,funny,3,2,7.55,218.18
261,grotesque,funny,2,2,1.57,218.18
262,interesting,funny,3,2,86.69,218.18
263,waterlogged,swampy,3,2,0.14,0.2
264,waterlogged,marshy,3,2,0.14,0.06
265,swampy,marshy,2,2,0.2,0.06
266,entire,undivided,3,4,79.8,0.92
267,whole,undivided,1,4,385.49,0.92
268,entire,whole,3,1,79.8,385.49
269,integral,whole,3,1,0.73,385.49
270,tight,whole,1,1,50.92,385.49
271,unfair,unjustified,2,4,9.84,0.16
272,unwarranted,unjustified,4,4,0.37,0.16
273,unfair,disproportionate,2,5,9.84,0.25
274,unfair,prejudiced,2,3,9.84,1.86
275,unfair,biased,2,2,9.84,0.92
276,partial,biased,2,2,4.84,0.92
277,stationary,immovable,4,4,0.96,0.16
278,wide,broad,1,1,23.8,14.73
279,liberal,broad,3,1,3.98,14.73
280,spacious,broad,2,1,1.14,14.73
281,extensive,broad,3,1,3.71,14.73
282,pronounced,broad,2,1,2.98,14.73
283,capacious,broad,3,1,0.06,14.73
284,global,broad,2,1,6.29,14.73
285,wide,distant,1,2,23.8,8.61
286,icy,distant,2,2,2.65,8.61
287,reserved,distant,2,2,5.06,8.61
288,foreign,distant,2,2,22.29,8.61
289,lusty,strong,2,1,0.61,86.86
290,valid,strong,2,1,3.22,86.86
291,high,strong,1,1,195,86.86
292,brawny,strong,2,1,0.18,86.86
293,tough,strong,1,1,90.51,86.86
294,insoluble,strong,4,1,0.14,86.86
295,sound,strong,1,1,143.39,86.86
296,fast,strong,1,1,137.45,86.86
297,masculine,strong,3,1,2.45,86.86
298,cogent,strong,2,1,0.22,86.86
299,alcoholic,strong,4,1,6.2,86.86
300,impregnable,strong,4,1,0.57,86.86
301,lasting,stable,2,2,2.35,13.2
302,unchanging,stable,3,2,0.16,13.2
303,incompatible,inappropriate,5,5,0.55,6.63
304,stale,moldy,1,2,2.92,0.59
305,covert,secret,2,2,2.9,109.51
306,mysterious,secret,4,2,15,109.51
307,close,secret,1,2,219.43,109.51
308,privy,secret,2,2,1.49,109.51
309,hidden,secret,2,2,21.27,109.51
310,confidential,secret,4,2,6.71,109.51
311,undercover,secret,4,2,11.73,109.51
312,mystic,secret,2,2,1.45,109.51
313,notable,evident,3,3,0.61,1.33
314,plain,evident,1,3,21.82,1.33
315,bright,evident,1,3,44.41,1.33
316,notable,prominent,3,3,0.61,2.55
317,distinct,prominent,2,3,3.04,2.55
318,notable,noted,3,2,0.61,4.8
319,dim,slow,1,1,4.76,76.02
320,moderate,slow,3,1,1.24,76.02
321,boring,slow,2,1,27.41,76.02
322,late,slow,1,1,269.73,76.02
323,tiresome,slow,3,1,1.45,76.02
324,lazy,slow,2,1,11.59,76.02
325,strange,slow,1,1,86.43,76.02
326,gradual,slow,3,1,0.75,76.02
327,dim,dull,1,1,4.76,12.08
328,flat,dull,1,1,26.22,12.08
329,stupid,dull,2,1,184.41,12.08
330,dense,dull,1,1,2.12,12.08
331,depressing,dull,3,1,6.35,12.08
332,obtuse,dull,2,1,0.25,12.08
333,despicable,low,4,1,2.1,59.14
334,moderate,low,3,1,1.24,59.14
335,blue,low,1,1,102.39,59.14
336,weak,low,1,1,31.51,59.14
337,depressed,low,2,1,16.27,59.14
338,vulgar,low,2,1,3.27,59.14
339,humble,low,2,1,9.8,59.14
340,record,low,2,1,85.59,59.14
341,earthly,low,2,1,1.49,59.14
342,devoted,constant,3,2,8.02,9.92
343,continual,constant,4,2,0.31,9.92
344,continuous,constant,4,2,1.92,9.92
345,uniform,constant,3,2,24.82,9.92
346,devoted,zealous,3,2,8.02,0.29
347,ardent,zealous,2,2,0.59,0.29
348,conditional,subject,4,2,0.31,36.96
349,conditional,contingent,4,3,0.31,1.08
350,underground,hidden,3,2,12.02,21.27
351,mysterious,hidden,4,2,15,21.27
352,underground,subterranean,3,5,12.02,0.65
353,brittle,fragile,2,2,1.39,5.14
354,brittle,crisp,2,1,1.39,3.16
355,short,crisp,1,1,85.63,3.16
356,unable,ineffectual,3,5,10.25,0.45
357,unable,helpless,3,2,10.25,11.14
358,useless,helpless,2,2,19.94,11.14
359,defenseless,helpless,3,2,1.33,11.14
360,unable,ineffective,3,4,10.25,0.59
361,unable,impotent,3,3,10.25,2.08
362,silly,stupid,2,2,57.1,184.41
363,senseless,stupid,2,2,2.57,184.41
364,thick,stupid,1,2,13.98,184.41
365,crass,stupid,1,2,0.71,184.41
366,flat,boring,1,2,26.22,27.41
367,slow,boring,1,2,76.02,27.41
368,dull,boring,1,2,12.08,27.41
369,tedious,boring,3,2,1.43,27.41
370,flat,level,1,2,26.22,51.63
371,plain,level,1,2,21.82,51.63
372,flat,depressed,1,2,26.22,16.27
373,despondent,depressed,3,2,0.47,16.27
374,flat,dead,1,1,26.22,448.98
375,obsolete,dead,3,1,1.92,448.98
376,deceased,dead,2,1,6.29,448.98
377,stagnant,dead,2,1,0.27,448.98
378,flat,vocal,1,2,26.22,2.96
379,outspoken,vocal,3,2,0.49,2.96
380,impolite,rude,3,1,1.29,22.06
381,impertinent,rude,4,1,1.08,22.06
382,violent,rude,3,1,16.67,22.06
383,offensive,rude,3,1,6.41,22.06
384,obsolete,old,3,1,1.92,608.94
385,gray,old,1,1,21.12,608.94
386,antiquated,old,4,1,0.55,608.94
387,obsolete,antiquated,3,4,1.92,0.55
388,old,antiquated,1,4,608.94,0.55
389,obsolete,obscure,3,2,1.92,2.59
390,deep,obscure,1,2,76.39,2.59
391,obsolete,extinct,3,2,1.92,2.51
392,dead,extinct,1,2,448.98,2.51
393,comprehensive,thorough,4,2,1.14,4.71
394,exhaustive,thorough,3,2,0.55,4.71
395,comprehensive,wide,4,1,1.14,23.8
396,broad,wide,1,1,14.73,23.8
397,extensive,wide,3,1,3.71,23.8
398,vast,wide,1,1,6.1,23.8
399,adequate,competent,3,3,2.59,2.43
400,able,competent,2,3,159.9,2.43
401,capable,competent,3,3,20.82,2.43
402,efficient,competent,3,3,4.96,2.43
403,adequate,decent,3,2,2.59,28.1
404,moderate,decent,3,2,1.24,28.1
405,proper,decent,2,2,25.27,28.1
406,adequate,capable,3,3,2.59,20.82
407,able,capable,2,3,159.9,20.82
408,adequate,sufficient,3,3,2.59,4.76
409,valid,sufficient,2,3,3.22,4.76
410,competent,sufficient,3,3,2.43,4.76
411,adequate,equal,3,2,2.59,13.37
412,equivalent,equal,4,2,2.63,13.37
413,tame,domestic,1,3,2.73,6.88
414,economic,domestic,4,3,4.96,6.88
415,tame,mild,1,1,2.73,4.8
416,moderate,mild,3,1,1.24,4.8
417,smooth,mild,1,1,18.27,4.8
418,sweet,mild,1,1,145.2,4.8
419,peaceful,mild,2,1,11.24,4.8
420,soft,mild,1,1,32.02,4.8
421,balmy,mild,2,1,0.57,4.8
422,rough,crude,1,1,37.39,3.04
423,rude,crude,1,1,22.06,3.04
424,rough,fierce,1,1,37.39,4.78
425,rough,approximate,1,4,37.39,1.25
426,rough,ragged,1,2,37.39,1.57
427,rough,boisterous,1,3,37.39,0.24
428,rough,uncut,1,2,37.39,0.78
429,classical,canonical,3,4,4.39,0.02
430,optimistic,hopeful,4,2,3.39,2.98
431,joyous,happy,2,2,1.35,333.2
432,white,happy,1,2,171.45,333.2
433,glad,happy,1,2,171.37,333.2
434,fortunate,happy,3,2,8.22,333.2
435,blessed,happy,1,2,13.8,333.2
436,carefree,happy,2,2,1.35,333.2
437,abrupt,sharp,2,1,1.14,23.78
438,angry,sharp,2,1,58.98,23.78
439,smart,sharp,1,1,96.25,23.78
440,witty,sharp,2,1,3.2,23.78
441,cruel,sharp,2,1,18.35,23.78
442,incisive,sharp,3,1,0.16,23.78
443,trenchant,sharp,2,1,0.04,23.78
444,sarcastic,sharp,3,1,2.61,23.78
445,eager,sharp,2,1,6.86,23.78
446,violent,sharp,3,1,16.67,23.78
447,angular,sharp,3,1,0.14,23.78
448,square,sharp,1,1,31.76,23.78
449,pungent,sharp,2,1,0.39,23.78
450,overbearing,bossy,4,2,0.96,1.75
451,overbearing,tyrannical,4,4,0.96,0.29
452,overbearing,insolent,4,3,0.96,1.2
453,rude,insolent,1,3,22.06,1.2
454,overbearing,arrogant,4,3,0.96,5.22
455,presumptuous,arrogant,4,3,1.35,5.22
456,proud,arrogant,1,3,83.63,5.22
457,pompous,arrogant,2,3,2.39,5.22
458,imperious,arrogant,4,3,0.29,5.22
459,unsure,shy,2,1,1.02,18.37
460,meritorious,deserving,5,3,0.25,0.98
461,worthy,deserving,2,3,10.33,0.98
462,minor,underage,2,3,12.82,2.18
463,infinite,countless,3,2,3.49,2.37
464,infinite,perfect,3,2,3.49,158.65
465,circular,perfect,3,2,1.59,158.65
466,average,normal,3,2,16.65,70.37
467,plain,normal,1,2,21.82,70.37
468,formal,normal,2,2,8.31,70.37
469,average,usual,3,3,16.65,37.24
470,customary,usual,4,3,2.18,37.24
471,ordinary,usual,4,3,19.08,37.24
472,habitual,usual,4,3,0.51,37.24
473,average,medium,3,3,16.65,7.1
474,intermediate,medium,5,3,0.45,7.1
475,ordinary,medium,4,3,19.08,7.1
476,average,median,3,3,16.65,0.39
477,thoughtful,considerate,2,4,7.8,3.43
478,thoughtful,deliberate,2,4,7.8,2.84
479,cool,deliberate,1,4,195.88,2.84
480,thoughtful,concerned,2,2,7.8,44.33
481,tyrannical,dictatorial,4,5,0.29,0.14
482,fair,upright,1,2,94.75,3.02
483,vertical,upright,3,2,2.76,3.02
484,fair,beautiful,1,3,94.75,279.73
485,hot,beautiful,1,3,189.84,279.73
486,gorgeous,beautiful,2,3,24.06,279.73
487,exquisite,beautiful,3,3,4.18,279.73
488,fine,beautiful,1,3,598.08,279.73
489,lovely,beautiful,2,3,95.16,279.73
490,fair,pleasant,1,2,94.75,21.02
491,pleasing,pleasant,2,2,1.55,21.02
492,agreeable,pleasant,4,2,1.59,21.02
493,fair,clean,1,1,94.75,121.24
494,empty,clean,2,1,47.24,121.24
495,neat,clean,1,1,12.45,121.24
496,fair,candid,1,2,94.75,2
497,honest,candid,2,2,72.33,2
498,blunt,candid,1,2,4.9,2
499,open,candid,2,2,320.41,2
500,fair,pale,1,1,94.75,8.02
501,pallid,pale,2,1,0.16,8.02
502,fair,handsome,1,2,94.75,33.02
503,big,handsome,1,2,682.82,33.02
504,accountable,answerable,4,4,1.41,0.18
505,accountable,responsible,4,4,1.41,45.06
506,opulent,rich,3,1,0.14,80.39
507,robust,rich,2,1,0.71,80.39
508,wealthy,rich,2,1,7.37,80.39
509,ample,rich,2,1,1.82,80.39
510,abundant,rich,3,1,0.57,80.39
511,deep,rich,1,1,76.39,80.39
512,exuberant,rich,4,1,0.24,80.39
513,fertile,rich,2,1,1.57,80.39
514,melodious,rich,4,1,0.16,80.39
515,affluent,rich,3,1,0.29,80.39
516,plentiful,rich,3,1,0.29,80.39
517,due,exact,1,2,44.61,22.63
518,accurate,exact,3,2,7.84,22.63
519,formal,exact,2,2,8.31,22.63
520,TRUE,exact,1,2,253.35,22.63
521,precise,exact,2,2,5.2,22.63
522,due,right,1,1,44.61,4008.39
523,correct,right,2,1,44.94,4008.39
524,due,fit,1,1,44.61,57.59
525,hot,fit,1,1,189.84,57.59
526,convenient,fit,3,1,8.55,57.59
527,hot,tasty,1,2,189.84,6.31
528,hot,glowing,1,2,189.84,3.53
529,hot,acrid,1,2,189.84,0.04
530,hot,brisk,1,1,189.84,1.04
531,breezy,brisk,2,1,0.78,1.04
532,hot,blistering,1,3,189.84,0.47
533,rugged,rough,2,1,2,37.39
534,boisterous,rough,3,1,0.24,37.39
535,coarse,rough,1,1,1.35,37.39
536,severe,rough,2,1,9.41,37.39
537,crude,rough,1,1,3.04,37.39
538,harsh,rough,1,1,7.1,37.39
539,rustic,rough,2,1,0.78,37.39
540,hairy,rough,2,1,6.31,37.39
541,raucous,rough,2,1,0.31,37.39
542,rowdy,rough,2,1,1.02,37.39
543,rugged,robust,2,2,2,0.71
544,vigorous,robust,3,2,0.69,0.71
545,angry,wild,2,1,58.98,57.31
546,furious,wild,3,1,6,57.31
547,feral,wild,2,1,0.18,57.31
548,unfounded,wild,3,1,0.61,57.31
549,weird,wild,1,1,101.1,57.31
550,angry,displeased,2,2,58.98,0.76
551,angry,black,2,1,58.98,167.94
552,morbid,black,2,1,2.59,167.94
553,dark,black,1,1,88.61,167.94
554,fatal,black,2,1,7.1,167.94
555,bleak,black,1,1,1.08,167.94
556,malevolent,black,4,1,0.35,167.94
557,angry,troublesome,2,3,58.98,1.55
558,angry,dark,2,1,58.98,88.61
559,colored,dark,2,1,7.39,88.61
560,moody,dark,2,1,2.25,88.61
561,sullen,dark,2,1,0.57,88.61
562,sour,dark,2,1,5.82,88.61
563,troubled,dark,2,1,6.78,88.61
564,murky,dark,2,1,0.61,88.61
565,shady,dark,2,1,2.35,88.61
566,angry,exasperated,2,5,58.98,0.16
567,swift,rapid,1,2,3.86,4.37
568,prevalent,powerful,3,3,0.31,35.12
569,valid,powerful,2,3,3.22,35.12
570,vigorous,powerful,3,3,0.69,35.12
571,great,powerful,1,3,820.86,35.12
572,hard,powerful,1,3,307.84,35.12
573,impressive,powerful,3,3,16.96,35.12
574,potential,powerful,3,3,18.82,35.12
575,prevalent,successful,3,3,0.31,20.33
576,lucky,successful,2,3,143.45,20.33
577,happy,successful,2,3,333.2,20.33
578,irregular,eccentric,4,3,2.53,3.51
579,irregular,crooked,4,2,2.53,5.69
580,corrupt,crooked,2,2,5.31,5.69
581,bent,crooked,1,2,7.22,5.69
582,irregular,abnormal,4,3,2.53,2.9
583,unnatural,abnormal,4,3,2.75,2.9
584,succinct,short,2,1,0.24,85.63
585,brief,short,1,1,14.35,85.63
586,close,short,1,1,219.43,85.63
587,light,short,1,1,165.2,85.63
588,summary,short,3,1,1.67,85.63
589,succinct,concise,2,2,0.24,0.43
590,brief,concise,1,2,14.35,0.43
591,profound,fundamental,2,4,4.18,3.27
592,basic,fundamental,2,4,15.57,3.27
593,morbid,gruesome,2,2,2.59,2.04
594,morbid,grim,2,1,2.59,4.78
595,black,grim,1,1,167.94,4.78
596,relentless,grim,3,1,1.55,4.78
597,dour,grim,2,1,0.16,4.78
598,permissible,allowable,4,4,0.45,0.1
599,efficacious,effective,4,3,0.2,10.51
600,capable,effective,3,3,20.82,10.51
601,operative,effective,4,3,3.25,10.51
602,sober,quiet,2,2,10.1,117.22
603,silent,quiet,2,2,23,117.22
604,restrained,quiet,2,2,1.1,117.22
605,smooth,quiet,1,2,18.27,117.22
606,retired,quiet,2,2,12.06,117.22
607,inactive,quiet,3,2,0.67,117.22
608,tranquil,quiet,2,2,0.82,117.22
609,calm,quiet,1,2,89.04,117.22
610,sober,steady,2,2,10.1,22.71
611,regular,steady,3,2,33.86,22.71
612,sober,serious,2,3,10.1,148.35
613,solemn,serious,2,3,2.2,148.35
614,gross,serious,1,3,15.27,148.35
615,deep,serious,1,3,76.39,148.35
616,stupid,inept,2,2,184.41,0.84
617,stupid,senseless,2,2,184.41,2.57
618,stupid,idiotic,2,4,184.41,3.88
619,ridiculous,idiotic,4,4,55.61,3.88
620,stupid,stolid,2,2,184.41,0.04
621,stupid,dumb,2,1,184.41,46.96
622,stupid,flat,2,1,184.41,26.22
623,dead,flat,1,1,448.98,26.22
624,smooth,flat,1,1,18.27,26.22
625,horizontal,flat,4,1,1.51,26.22
626,customary,ordinary,4,4,2.18,19.08
627,normal,ordinary,2,4,70.37,19.08
628,popular,ordinary,3,4,23.08,19.08
629,unremarkable,ordinary,5,4,0.41,19.08
630,customary,habitual,4,4,2.18,0.51
631,slow,tiresome,1,3,76.02,1.45
632,boring,tiresome,2,3,27.41,1.45
633,tedious,tiresome,3,3,1.43,1.45
634,slow,gradual,1,3,76.02,0.75
635,childlike,naive,2,2,0.63,6.45
636,childlike,childish,2,2,0.63,4.9
637,big,grown,1,1,682.82,25
638,big,pregnant,1,2,682.82,52.02
639,big,heavy,1,2,682.82,47.29
640,unwieldy,heavy,3,2,0.12,47.29
641,scholastic,formal,3,2,0.57,8.31
642,solemn,formal,2,2,2.2,8.31
643,conventional,formal,4,2,3.04,8.31
644,precise,formal,2,2,5.2,8.31
645,stately,formal,2,2,0.45,8.31
646,stiff,formal,1,2,10.25,8.31
647,scholastic,academic,3,4,0.57,4.67
648,collegiate,academic,3,4,0.49,4.67
649,viscous,thick,2,1,0.25,13.98
650,dense,thick,1,1,2.12,13.98
651,stocky,thick,2,1,0.18,13.98
652,fat,thick,1,1,79.43,13.98
653,remaining,last,3,1,6.75,723.1
654,farthest,last,2,1,0.82,723.1
655,latter,last,2,1,1.25,723.1
656,extreme,last,2,1,10.94,723.1
657,perennial,permanent,4,3,0.29,12.14
658,persistent,permanent,3,3,2.59,12.14
659,sure,permanent,1,3,1099.82,12.14
660,subtle,skillful,2,2,6.94,0.78
661,good,skillful,1,2,2610.14,0.78
